listing_id,car_brand_id,car_brand,car_model_id,car_year,car_variant_id,car_engine,car_transmission_id,auction_date,reserve_price
1712551,Brand 149,Toyota,Model 2372,2011,Variant 15070,2.7,2,23/04/2021,35500
1738445,Brand 120,Naza,Model 1758,2009,Variant 10278,2,2,23/04/2021,6600
1738510,Brand 149,Toyota,Model 2482,2005,Variant 15832,1.5,2,23/04/2021,6000
1755275,Brand 63,Honda,Model 674,2015,Variant 3589,1.5,2,23/04/2021,38900
1760527,Brand 124,Perodua,Model 1950,2015,Variant 11593,1,2,23/04/2021,18300
1763753,Brand 129,Proton,Model 2097,2011,Variant 13142,1.3,2,23/04/2021,9700
1766950,Brand 149,Toyota,Model 2482,2005,Variant 15833,1.5,2,23/04/2021,12300
1775328,Brand 124,Perodua,Model 1961,2004,Variant 11773,1,2,23/04/2021,6800
1776157,Brand 129,Proton,Model 2097,2012,Variant 13156,1.6,2,23/04/2021,10300
1776699,Brand 141,Subaru,Model 2246,2016,Variant 14211,2,2,23/04/2021,51300
1777752,Brand 63,Honda,Model 676,2010,Variant 3636,1.8,2,23/04/2021,18300
1778561,Brand 129,Proton,Model 2100,2009,Variant 13200,1.2,1,23/04/2021,300
1779459,Brand 39,Daihatsu,Model 445,2011,Variant 2608,1.5,1,23/04/2021,27000
1779894,Brand 129,Proton,Model 2099,2011,Variant 13188,1.6,2,23/04/2021,12300
1780130,Brand 121,Nissan,Model 1903,2016,Variant 11428,2.5,2,23/04/2021,56500
1780310,Brand 101,Maxus,Model 1255,2013,Variant 6559,2.5,1,23/04/2021,13000
1780529,Brand 107,Mercedes-Benz,Model 1470,2014,Variant 7936,2,2,23/04/2021,120000
1780651,Brand 63,Honda,Model 725,2016,Variant 4109,1.5,2,23/04/2021,46000
1780850,Brand 129,Proton,Model 2097,2010,Variant 13142,1.3,2,23/04/2021,3300
1781659,Brand 124,Perodua,Model 1950,2017,Variant 11593,1,2,23/04/2021,18000
1781702,Brand 124,Perodua,Model 1950,2017,Variant 11593,1,2,23/04/2021,20300
1783365,Brand 124,Perodua,Model 1956,2018,Variant 11694,1.3,2,23/04/2021,32100
1783540,Brand 102,Mazda,Model 1334,2005,Variant 7188,1.3,1,23/04/2021,25300
1783796,Brand 129,Proton,Model 2089,2014,Variant 13010,1.6,2,23/04/2021,17500
1783919,Brand 149,Toyota,Model 2317,2015,Variant 14518,2.5,2,23/04/2021,135000
1783948,Brand 63,Honda,Model 662,2012,Variant 3475,2,2,23/04/2021,37000
1784364,Brand 63,Honda,Model 676,1993,Variant 3628,1.6,1,23/04/2021,3000
1784628,Brand 149,Toyota,Model 2317,2008,Variant 14520,2.4,2,23/04/2021,43000
1785149,Brand 71,Inokom,Model 903,2008,Variant 5152,1.6,2,23/04/2021,3000
1785263,Brand 63,Honda,Model 674,2005,Variant 3596,1.5,2,23/04/2021,6000
1785312,Brand 129,Proton,Model 2097,2014,Variant 13156,1.3,1,23/04/2021,8300
1785384,Brand 124,Perodua,Model 1956,2017,Variant 11694,1.3,2,23/04/2021,30000
1785413,Brand 84,Kia,Model 1086,2006,Variant 5840,1.6,2,23/04/2021,2300
1785419,Brand 129,Proton,Model 2097,2014,Variant 13156,1.3,2,23/04/2021,7300
